name,reviews,rating,category,address,website,url,query,facebook_ads_search,google_review_source,lead_gen_sites,lead_gen_profile_urls,lead_gen_checked_on,record_status,lead_gen_search_scope
Casa Interior Design Pte Ltd,2484,4.9,Contractor,"1 Tampines North Dr. 1, #01-24/25 T-Space Building, Singapore 528559",casaid.com.sg,https://www.google.com/maps/place/Casa+Interior+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da19b0ff9233c5:0xf4716d520d0ed225!8m2!3d1.3717799!4d103.9337714!16s%2Fg%2F11c0xd9rm7!19sChIJxTOS_7AZ2jERJdIODVJtcfQ?authuser=0&hl=en&rclk=1,interior designer Singapore,,Existing CSV snapshot; collection date unknown,Hometrust,https://www.hometrust.sg/interior-designers/casa-interior-design-pte-ltd,2026-09-25,Existing,Qanvast; Hometrust
Ciseern by Designer Furnishings Pte Ltd,868,4.8,Interior designer,"1 Tampines North Dr. 1, #01-37 T-Space, Building 528559",ciseern.com,https://www.google.com/maps/place/Ciseern+by+Designer+Furnishings+Pte+Ltd/data=!4m7!3m6!1s0x31da1781ec89b4a5:0x37db620b7f753ea8!8m2!3d1.3712597!4d103.9331196!16s%2Fg%2F1tk88n3w!19sChIJpbSJ7IEX2jERqD51fwti2zc?authuser=0&hl=en&rclk=1,interior design company Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/ciseern-316,2026-09-25,Existing,Qanvast; Hometrust
Supreme houzz design Pte Ltd,832,4.8,,"377 Balestier Rd, Singapore 329792",,https://www.google.com/maps/place/Supreme+houzz+design+Pte+Ltd/data=!4m7!3m6!1s0x31da19fd6fdefacf:0x4a980d568fdd28cd!8m2!3d1.3251072!4d103.8503042!16s%2Fg%2F11p667lsq1!19sChIJz_reb_0Z2jERzSjdj1YNmEo?authuser=0&hl=en&rclk=1,interior designer Balestier Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/supreme-houzz-design-%E8%87%B3%E4%B8%8A%E5%AE%B6%E8%AE%BE%E8%AE%A1-2476,2026-09-25,Existing,Qanvast; Hometrust
Key Concept Singapore,768,4.8,Interior designer,"2 Gambas Cres, #08-27, Singapore 757044",keyconcept.com.sg,https://www.google.com/maps/search/?api=1&query=Key%20Concept%20Singapore%202%20Gambas%20Cres%2C%20%2308-27%2C%20Singapore%20757044,interior design company Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/key-concept-990; https://qanvast.com/sg/interior-designers-architects/key-concept-1696,2026-09-25,Existing,Qanvast; Hometrust
The Alchemist Design,660,5,Interior designer,"2 Gambas Cres, #09-17/18/19 Tower I, Nordcom II, Singapore 757044",thealchemistdesign.com,https://www.google.com/maps/place/The+Alchemist+Design/data=!4m7!3m6!1s0x31da137eb3ac4c03:0xd545f2ae84852bb2!8m2!3d1.4435645!4d103.8152639!16s%2Fg%2F11p56n23q_!19sChIJA0yss34T2jERsiuFhK7yRdU?authuser=0&hl=en&rclk=1,interior designer Woodlands Singapore,The Alchemist Design,Existing CSV snapshot; collection date unknown,Hometrust,https://www.hometrust.sg/interior-designers/the-alchemists-design,2026-09-25,Existing,Qanvast; Hometrust
The Interior Lab (TIL) Pte Ltd,506,4.7,Interior designer,"86 Joo Chiat Pl, Singapore 427803",theinteriorlab.com.sg,https://www.google.com/maps/place/The+Interior+Lab+%28TIL%29+Pte+Ltd/data=!4m7!3m6!1s0x31da1811d8d2cb57:0xf4df5f521431f08d!8m2!3d1.3135525!4d103.9026368!16s%2Fg%2F11c3kqn4s8!19sChIJV8vS2BEY2jERjfAxFFJf3_Q?authuser=0&hl=en&rclk=1,interior design company Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/the-interior-lab-212,2026-09-25,Existing,Qanvast; Hometrust
Ft2 (Ubi) Interior Design (By Appointment Only),474,4.9,Interior designer,"10 Ubi Cres, #01-63A, Lobby D, Ubi Techpark, Singapore 408564",ft2.com.sg,https://www.google.com/maps/place/Ft2+%28Ubi%29+Interior+Design+%28By+Appointment+Only%29/data=!4m7!3m6!1s0x31da17588e28df63:0x61f15ca94b1e6b6b!8m2!3d1.326539!4d103.8959119!16s%2Fg%2F11s8w8tqzq!19sChIJY98ojlgX2jERa2seS6lc8WE?authuser=0&hl=en&rclk=1,interior designer Orchard Singapore,@ft2_sg,Existing CSV snapshot; collection date unknown,None found,,2026-09-25,Existing,Qanvast; Hometrust; HomeMatch; Renonation
ChengYi Interior Design,391,4.7,Interior designer,"62 Ubi Rd 1, #06-16/17, Singapore 408734",chengyiinteriordesign.space,https://www.google.com/maps/place/ChengYi+Interior+Design/data=!4m7!3m6!1s0x31da17836464a3c5:0xc1a7651e5f7c32ce!8m2!3d1.3322686!4d103.892106!16s%2Fg%2F11qqpdv95d!19sChIJxaNkZIMX2jERzjJ8Xx5lp8E?authuser=0&hl=en&rclk=1,interior designer Ubi Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/chengyi-interior-design-1654,2026-09-25,Existing,Qanvast; Hometrust
Earth Interior Design Pte Ltd,371,4.7,Interior designer,"601 MacPherson Rd, #03-14/15 Grantral Mall & Complex, Singapore 368242",earthid.sg,https://www.google.com/maps/place/Earth+Interior+Design+Pte+Ltd/data=!4m7!3m6!1s0x31da19b6d6d302e9:0xd6ae97ddfe91cf68!8m2!3d1.3335017!4d103.8871113!16s%2Fg%2F11c6zsb56s!19sChIJ6QLT1rYZ2jERaM-R_t2XrtY?authuser=0&hl=en&rclk=1,interior design company Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/earth-interior-design-683,2026-09-25,Existing,Qanvast; Hometrust
Lemonfridge Studio,356,4.3,Interior designer,"1 Commonwealth Ln, #03-02, Singapore 149544",lemonfridge.sg,https://www.google.com/maps/place/Lemonfridge+Studio/data=!4m7!3m6!1s0x31da1bb0df802e67:0xd82d4185f431e53e!8m2!3d1.3038628!4d103.7972849!16s%2Fg%2F11f7fq0v9v!19sChIJZy6A37Ab2jERPuUx9IVBLdg?authuser=0&hl=en&rclk=1,interior designer Bukit Timah Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/lemonfridge-studio-1034,2026-09-25,Existing,Qanvast; Hometrust
LOME Interior,317,4.9,Interior designer,"2 Joo Chiat Road Joo Chiat Complex #01-1135, Singapore 420002",lomeinterior.com.sg,https://www.google.com/maps/search/?api=1&query=LOME%20Interior%202%20Joo%20Chiat%20Road%20Joo%20Chiat%20Complex%20%2301-1135%2C%20Singapore%20420002,interior design company Singapore,,Existing CSV snapshot; collection date unknown,Qanvast,https://qanvast.com/sg/interior-designers-architects/lome-interior-1810,2026-09-25,Existing,Qanvast; Hometrust
